Marca;Modelo;Combustible;Transmisión;Estado;Año matricula;Kilometraje;Potencia;Precio
Volkswagen;Golf Sportsvan;Gasolina;Manual;Usado;09/2015;48834;110.0;11980.0
Fiat;500L;Diesel;Manual;Usado;04/2016;44901;120.0;11980.0
Citroen;Berlingo;Gasolina;Manual;Usado;04/2016;51057;98.0;11981.0
Hyundai;i20;Gasolina;Manual;Usado;10/2014;60000;86.0;6950.0
Nissan;Micra;Gasolina;Manual;Usado;12/2015;89174;80.0;6950.0
Volkswagen;up!;Gasolina;Manual;Usado;12/2015;35200;75.0;6950.0
Volkswagen;up!;Gasolina;Manual;Usado;08/2015;42386;75.0;6975.0
Renault;Twingo;Gasolina;Manual;Usado;07/2017;19896;69.0;6980.0
Peugeot;108;Gasolina;Manual;Usado;05/2017;32577;69.0;6980.0
Volkswagen;up!;Gasolina;Manual;Usado;03/2017;72856;60.0;6983.0
Volkswagen;Polo;Gasolina;Manual;Usado;01/2013;60000;60.0;6985.0
Ford;Fiesta;Gasolina;Manual;Usado;03/2012;56900;82.0;6988.0
Opel;Corsa;Gasolina;Manual;Usado;10/2014;18861;87.0;6990.0
Opel;Corsa;Gasolina;Manual;Usado;05/2017;44588;69.0;6990.0
Hyundai;i10;Gasolina;Manual;Usado;01/2015;54855;67.0;6990.0
Renault;Twingo;Gasolina;Manual;Usado;07/2017;34011;69.0;6990.0
Skoda;Citigo;Gasolina;Manual;Usado;01/2017;42000;60.0;6990.0
Toyota;Aygo;Gasolina;Manual;Usado;10/2014;34037;69.0;6990.0
Hyundai;i10;Gasolina;Manual;Usado;11/2013;86700;87.0;6990.0
Renault;Twingo;Gasolina;Manual;Usado;08/2017;33533;69.0;6990.0
Citroen;C3;Gasolina;Manual;Usado;06/2016;93628;82.0;6990.0
Renault;Twingo;Gasolina;Manual;Usado;08/2017;27790;69.0;6990.0
Renault;Twingo;Gasolina;Manual;Usado;07/2017;30586;69.0;6990.0
Skoda;Citigo;Gasolina;Manual;Usado;04/2016;97000;60.0;5999.0
Ford;Fiesta;Gasolina;Manual;Usado;02/2016;44000;60.0;5999.0
Volkswagen;up!;Gasolina;Manual;Usado;11/2016;51178;60.0;6131.0
MINI;One;Gasolina;Manual;Usado;02/2011;59000;75.0;6199.0
Opel;Meriva;Gasolina;Manual;Usado;12/2010;89150;101.0;6200.0
Ford;Fiesta;Gasolina;Manual;Usado;02/2012;94207;82.0;6250.0
Ford;Fiesta;Gasolina;Manual;Usado;12/2011;32920;82.0;6250.0
Chevrolet;Aveo;Gasolina;Manual;Usado;05/2013;53800;116.0;6270.0
Renault;Twingo;Gasolina;Manual;Usado;09/2015;47488;71.0;6290.0
Renault;Megane;Gasolina;Manual;Usado;12/2013;91797;116.0;6380.0
Skoda;;Gasolina;Manual;Usado;10/2014;55430;86.0;6383.0
smart;forFour;Gasolina;Manual;Usado;05/2015;90740;71.0;6390.0
Skoda;Fabia;Gasolina;Manual;Usado;02/2013;75771;86.0;6390.0
Renault;Twingo;Gasolina;Manual;Usado;09/2017;29100;69.0;6400.0
Sonstige;Marken;Gasolina;Manual;Usado;08/2019;10;100.0;6430.0
Ford;Fiesta;Gasolina;Manual;Usado;10/2013;60950;80.0;6440.0
Renault;Twingo;Gasolina;Manual;Usado;09/2014;54077;75.0;6440.0
Nissan;Note;Gasolina;Manual;Usado;04/2012;33517;88.0;6440.0
Volkswagen;up!;Gasolina;Manual;Usado;01/2014;85200;60.0;6450.0
Dacia;Logan;Gasolina;Manual;Usado;09/2015;89475;90.0;6480.0
Audi;TT;Gasolina;Manual;Usado;06/2015;63200;230.0;23731.0
Mercedes-Benz;CLA 180;Gasolina;Manual;Usado;02/2019;10399;122.0;23850.0
Audi;TT;Gasolina;Manual;Usado;04/2017;73174;230.0;23980.0
BMW;420;Gasolina;Automática;Usado;07/2015;54649;184.0;23988.0
BMW;218;Gasolina;Automática;Usado;06/2019;16589;136.0;24270.0
BMW;218;Gasolina;Automática;Usado;12/2019;23956;136.0;24490.0
BMW;430;Diesel;Automática;Usado;01/2016;69800;258.0;24850.0
Kia;ProCeed / pro_cee'd;Gasolina;Automática;Usado;06/2019;11350;204.0;24890.0
Mercedes-Benz;CLA 180;Gasolina;Automática;Usado;02/2018;42653;122.0;24899.0
BMW;230;Gasolina;Automática;Usado;04/2017;61475;252.0;24900.0
Audi;TT;Gasolina;Manual;Usado;05/2017;40699;230.0;25330.0
Audi;A5;Diesel;Automática;Usado;04/2015;35586;190.0;25340.0
Mercedes-Benz;CLA 200;Gasolina;Automática;Usado;01/2017;49000;156.0;25670.0
Audi;A5;Diesel;Automática;Usado;11/2016;79935;190.0;25840.0
Mercedes-Benz;CLA 180;Gasolina;Manual;Nuevo;09/2020;100;136.0;25890.0
Ford;Mustang;Gasolina;Automática;Usado;05/2016;74250;305.0;25900.0
BMW;435;Diesel;Automática;Usado;12/2016;97956;313.0;25900.0
Volkswagen;Scirocco;Gasolina;Automática;Usado;07/2017;42074;280.0;25930.0
Audi;A5;Gasolina;Automática;Usado;08/2017;25900;190.0;25995.0
Ford;Kuga;Gasolina;Manual;Usado;10/2013;84240;150.0;11470.0
Renault;Captur;Gasolina;Manual;Usado;03/2016;7062;90.0;11490.0
Renault;Captur;Diesel;Manual;Usado;11/2015;52610;110.0;11490.0
Peugeot;2008;Gasolina;Manual;Usado;04/2017;33900;82.0;11490.0
Peugeot;2008;Gasolina;Manual;Usado;06/2016;40670;110.0;11490.0
Peugeot;2008;Gasolina;Manual;Usado;11/2017;19587;82.0;11490.0
Nissan;Qashqai;Gasolina;Manual;Usado;06/2014;99330;116.0;11490.0
Volkswagen;Tiguan;Gasolina;Manual;Usado;06/2013;63245;160.0;11498.0
Volkswagen;Tiguan;Gasolina;Manual;Usado;11/2011;38900;122.0;11500.0
Hyundai;iX35;Gasolina;Manual;Usado;04/2015;58000;135.0;11670.0
Renault;Captur;Gasolina;Manual;Usado;04/2017;33228;90.0;11690.0
Skoda;Yeti;Gasolina;Manual;Usado;07/2015;63950;105.0;11706.0
Renault;Captur;Diesel;Automática;Usado;03/2016;64920;90.0;11745.0
Dacia;Duster;Gasolina;Manual;Nuevo;09/2020;100;101.0;11750.0
Volkswagen;Tiguan;Diesel;Automática;Usado;04/2013;95100;140.0;11750.0
SsangYong;Korando;Diesel;Automática;Usado;05/2015;71998;175.0;11800.0
Suzuki;SX4;Gasolina;Manual;Usado;09/2015;55968;120.0;11850.0
Suzuki;SX4 S-Cross;Gasolina;Manual;Usado;09/2015;55968;120.0;11850.0
Renault;Captur;Diesel;Manual;Usado;05/2018;52665;90.0;11870.0
Hyundai;iX35;Gasolina;Manual;Usado;09/2015;57500;135.0;11890.0
Skoda;Fabia;Gasolina;Manual;Nuevo;09/2020;1;95.0;10295.0
Skoda;Fabia;Gasolina;Manual;Usado;04/2016;39660;90.0;10440.0
Skoda;Rapid/Spaceback;Gasolina;Manual;Usado;02/2017;38000;90.0;10450.0
Opel;Astra;Diesel;Manual;Usado;07/2017;79621;110.0;10460.0
Volkswagen;Golf Variant;Gasolina;Manual;Usado;04/2017;91365;110.0;10460.0
Renault;Megane;Diesel;Manual;Usado;01/2016;68294;110.0;10490.0
Mercedes-Benz;C 200;Gasolina;Manual;Usado;03/2010;66543;184.0;10490.0
Renault;Megane;Gasolina;Manual;Usado;08/2017;96561;132.0;10490.0
Volvo;V40;Diesel;Manual;Usado;08/2014;80400;114.0;10490.0
Citroen;C4 Cactus;Diesel;Manual;Usado;10/2015;79834;99.0;10490.0
Kia;Ceed SW / cee'd SW;Diesel;Manual;Usado;05/2014;64000;128.0;10600.0
Renault;Clio;Gasolina;Manual;Usado;01/2019;10493;76.0;10691.0
Renault;Megane;Diesel;Manual;Usado;04/2017;79834;110.0;10691.0
Ford;Focus;Gasolina;Manual;Usado;10/2015;49990;101.0;10700.0
Kia;Ceed SW / cee'd SW;Gasolina;Manual;Usado;02/2015;53000;135.0;10790.0
Skoda;Octavia;Diesel;Automática;Usado;02/2012;50000;105.0;10799.0
Skoda;Octavia;Gasolina;Automática;Usado;04/2012;12749;105.0;10830.0
Ford;Focus;Gasolina;Manual;Usado;02/2017;38150;101.0;10850.0
Opel;Astra;Diesel;Manual;Usado;01/2018;79490;110.0;10880.0
Dacia;Lodgy;Gasolina;Manual;Usado;08/2017;59865;116.0;10880.0
Nissan;Micra;Gasolina;Manual;Usado;03/2016;45247;98.0;7670.0
Renault;Twingo;Gasolina;Manual;Usado;12/2017;35000;69.0;7690.0
Kia;Rio;Gasolina;Manual;Usado;10/2014;42900;86.0;7690.0
Hyundai;i30;Gasolina;Manual;Usado;06/2014;86711;99.0;7690.0
Dacia;Sandero;Gasolina;Manual;Nuevo;09/2020;100;73.0;7691.0
Dacia;Sandero;Gasolina;Manual;Nuevo;09/2020;100;73.0;7691.0
Audi;A3;Gasolina;Manual;Usado;05/2010;89527;125.0;7700.0
Volkswagen;Polo;Gasolina;Manual;Usado;03/2011;25300;60.0;7750.0
Renault;Twingo;Gasolina;Manual;Usado;11/2015;39681;90.0;7765.0
Opel;Corsa;Gasolina;Manual;Usado;02/2017;32879;69.0;7780.0
Opel;Corsa;Gasolina;Manual;Usado;07/2018;22500;69.0;7790.0
Hyundai;i30;Gasolina;Manual;Usado;01/2014;89590;99.0;7797.0
Kia;Rio;Gasolina;Manual;Usado;06/2014;57220;86.0;7860.0
Volkswagen;up!;Gasolina;Manual;Usado;04/2016;31382;60.0;7880.0
Fiat;500C;Gasolina;Manual;Usado;07/2014;92200;69.0;7890.0
Kia;Rio;Gasolina;Manual;Usado;08/2015;64000;109.0;7899.0
Volkswagen;Polo;Gasolina;Manual;Usado;09/2013;62500;86.0;7900.0
SEAT;Ibiza;Gasolina;Manual;Usado;03/2014;75947;105.0;7900.0
Dacia;Sandero;Gasolina;Manual;Usado;05/2014;68850;90.0;7945.0
Volkswagen;up!;Gasolina;Manual;Usado;06/2017;21980;60.0;7950.0
Opel;Meriva;Diesel;Manual;Usado;06/2014;48654;136.0;10790.0
Ford;C-Max;Gasolina;Manual;Usado;04/2011;81900;150.0;10790.0
Opel;Meriva;Gasolina;Manual;Usado;05/2015;79390;140.0;10850.0
Dacia;Lodgy;Gasolina;Manual;Usado;08/2017;59865;116.0;10880.0
Renault;Scenic;Gasolina;Manual;Usado;07/2014;51500;132.0;10880.0
Ford;B-Max;Gasolina;Manual;Usado;09/2016;22403;101.0;10890.0
Ford;C-Max;Diesel;Manual;Usado;01/2015;52500;140.0;10890.0
Citroen;Berlingo;Diesel;Automática;Usado;07/2017;72640;99.0;10970.0
Ford;B-Max;Diesel;Manual;Usado;11/2015;30122;95.0;10970.0
Mazda;5;Gasolina;Manual;Usado;03/2013;57500;150.0;10980.0
Ford;B-Max;Gasolina;Automática;Usado;03/2013;66672;105.0;10980.0
Ford;B-Max;Gasolina;Manual;Usado;12/2015;29243;101.0;10980.0
Opel;Combo;Gasolina;Manual;Usado;04/2018;49878;95.0;10981.0
Opel;Zafira;Diesel;Manual;Usado;09/2015;99500;120.0;10990.0
Hyundai;iX20;Diesel;Manual;Usado;07/2016;37180;116.0;10990.0
Ford;B-Max;Gasolina;Manual;Usado;08/2017;43768;90.0;10990.0
Opel;Meriva;Gasolina;Manual;Usado;02/2017;54170;120.0;10990.0
Opel;Meriva;Diesel;Manual;Usado;02/2015;47131;110.0;11240.0
Ford;B-Max;Gasolina;Manual;Usado;06/2016;71301;125.0;11390.0
Ford;B-Max;Gasolina;Manual;Usado;10/2016;24950;101.0;11450.0
Renault;Twingo;Gasolina;Manual;Usado;08/2017;49039;69.0;6990.0
Skoda;Citigo;Gasolina;Manual;Usado;04/2016;17350;60.0;6990.0
SEAT;Ibiza;Gasolina;Manual;Usado;05/2013;94000;105.0;6999.0
Fiat;500;Gasolina;Manual;Usado;04/2015;50000;69.0;7100.0
Volkswagen;up!;Gasolina;Manual;Usado;08/2016;53500;60.0;7222.0
Kia;Ceed / cee'd;Gasolina;Manual;Usado;04/2012;47750;90.0;7245.0
Volkswagen;up!;Gasolina;Manual;Usado;12/2017;39775;60.0;7250.0
SEAT;Mii;Gasolina;Manual;Usado;02/2014;15545;60.0;7270.0
Renault;Twingo;Gasolina;Manual;Usado;04/2017;25804;69.0;7280.0
Volkswagen;up!;Gasolina;Manual;Usado;07/2016;72351;75.0;7282.0
Citroen;C1;Gasolina;Manual;Usado;02/2017;56550;69.0;7290.0
Volkswagen;up!;Gasolina;Manual;Usado;02/2016;71451;75.0;7290.0
Hyundai;i10;Gasolina;Manual;Usado;03/2018;77793;67.0;7300.0
Hyundai;i10;Gasolina;Manual;Usado;03/2018;77569;67.0;7300.0
Hyundai;i10;Gasolina;Manual;Usado;03/2018;75163;67.0;7300.0
Hyundai;i10;Gasolina;Manual;Usado;03/2018;76442;67.0;7300.0
Hyundai;i10;Gasolina;Manual;Usado;03/2018;76125;67.0;7300.0
Volkswagen;up!;Gasolina;Manual;Usado;07/2017;38969;60.0;7330.0
Toyota;Aygo;Gasolina;Manual;Usado;08/2016;38500;69.0;7340.0
Citroen;DS3;Gasolina;Automática;Usado;05/2011;81489;120.0;7350.0
Toyota;Aygo;Gasolina;Manual;Usado;02/2016;36200;69.0;6495.0
Mazda;2;Gasolina;Manual;Usado;06/2013;39000;75.0;6499.0
SEAT;Mii;Gasolina;Manual;Usado;07/2016;31500;60.0;6550.0
Fiat;500;Gasolina;Manual;Usado;07/2016;41972;69.0;6550.0
Volkswagen;Polo;Gasolina;Manual;Usado;08/2011;76811;60.0;6555.0
Opel;Corsa;Gasolina;Manual;Usado;05/2014;61157;87.0;6590.0
Skoda;Citigo;Gasolina;Manual;Usado;06/2016;43000;75.0;6590.0
Renault;Twingo;Gasolina;Manual;Usado;04/2015;42486;71.0;6590.0
Dacia;Duster;Gasolina;Manual;Usado;12/2015;69114;125.0;6590.0
Nissan;Micra;Gasolina;Manual;Usado;12/2016;91735;80.0;6590.0
Hyundai;i10;Gasolina;Manual;Usado;01/2015;56500;67.0;6660.0
Renault;Twingo;Gasolina;Manual;Usado;08/2017;25280;69.0;6680.0
Volkswagen;Golf;Gasolina;Manual;Usado;06/2012;99540;80.0;6689.0
SEAT;Ibiza;Gasolina;Manual;Usado;04/2015;54377;69.0;6690.0
Volkswagen;up!;Gasolina;Manual;Usado;02/2014;77716;60.0;6690.0
SEAT;Ibiza;Gasolina;Manual;Usado;12/2013;49300;69.0;6690.0
Opel;Corsa;Gasolina;Manual;Usado;05/2017;30143;69.0;6740.0
Volkswagen;up!;Gasolina;Manual;Usado;03/2013;39400;60.0;6740.0
Renault;Twingo;Gasolina;Manual;Usado;09/2015;27750;71.0;6750.0
Hyundai;iX20;Gasolina;Manual;Usado;10/2012;94500;90.0;6750.0
BMW;220;Gasolina;Automática;Usado;05/2018;23840;184.0;25995.0
Mercedes-Benz;CLA 200;Gasolina;Automática;Usado;12/2018;34091;156.0;26880.0
Audi;TT;Gasolina;Manual;Usado;09/2017;45037;179.0;26890.0
Audi;TT RS;Gasolina;Automática;Usado;12/2011;99000;340.0;26890.0
Mercedes-Benz;CLA 200;Gasolina;Manual;Usado;07/2016;21700;156.0;26900.0
Audi;TT;Gasolina;Automática;Usado;01/2015;84855;230.0;26980.0
Toyota;GT86;Gasolina;Manual;Usado;05/2018;19731;200.0;26990.0
BMW;225;Diesel;Automática;Usado;08/2016;51198;224.0;26995.0
Audi;A5;Gasolina;Automática;Usado;07/2017;89500;252.0;27400.0
BMW;430;Gasolina;Automática;Usado;08/2017;64951;252.0;27474.0
Audi;TT;Gasolina;Automática;Usado;12/2014;57900;230.0;27480.0
Volkswagen;Arteon;Gasolina;Automática;Usado;07/2019;11250;150.0;27762.0
Mercedes-Benz;CLA 250;Gasolina;Automática;Usado;10/2015;63136;218.0;27849.0
Mercedes-Benz;CLA 250;Gasolina;Automática;Usado;08/2018;34570;211.0;27889.0
Audi;TTS;Gasolina;Automática;Usado;02/2014;54300;272.0;27990.0
Audi;A5;Diesel;Automática;Usado;11/2016;72636;190.0;28275.0
BMW;430;Gasolina;Automática;Usado;08/2017;51538;252.0;28440.0
Opel;Astra;Gasolina;Manual;Usado;07/2018;17150;280.0;28490.0
Audi;A5;Diesel;Automática;Usado;08/2017;31050;190.0;28990.0
Peugeot;2008;Gasolina;Manual;Usado;06/2016;40670;110.0;11490.0
Peugeot;2008;Gasolina;Manual;Usado;11/2017;19587;82.0;11490.0
MINI;One Countryman;Gasolina;Manual;Usado;07/2014;58490;98.0;11490.0
Volkswagen;Tiguan;Gasolina;Manual;Usado;06/2013;63245;160.0;11498.0
Hyundai;iX35;Gasolina;Manual;Usado;05/2014;93000;166.0;11499.0
Volkswagen;Tiguan;Gasolina;Manual;Usado;11/2011;38900;122.0;11500.0
Opel;Mokka;Gasolina;Manual;Usado;10/2014;80800;140.0;11650.0
Ford;EcoSport;Gasolina;Manual;Usado;03/2016;83000;125.0;11670.0
Hyundai;iX35;Gasolina;Manual;Usado;04/2015;58000;135.0;11670.0
Renault;Captur;Gasolina;Manual;Usado;04/2017;33228;90.0;11690.0
Skoda;Yeti;Gasolina;Manual;Usado;07/2015;63950;105.0;11706.0
Renault;Captur;Diesel;Automática;Usado;03/2016;64920;90.0;11745.0
Dacia;Duster;Gasolina;Manual;Nuevo;09/2020;100;101.0;11750.0
Volkswagen;Tiguan;Diesel;Automática;Usado;04/2013;95100;140.0;11750.0
SsangYong;Korando;Diesel;Automática;Usado;05/2015;71998;175.0;11800.0
Suzuki;SX4;Gasolina;Manual;Usado;09/2015;55968;120.0;11850.0
Suzuki;SX4 S-Cross;Gasolina;Manual;Usado;09/2015;55968;120.0;11850.0
Renault;Captur;Diesel;Manual;Usado;05/2018;52665;90.0;11870.0
Hyundai;iX35;Gasolina;Manual;Usado;09/2015;57500;135.0;11890.0
Opel;Mokka;Gasolina;Automática;Usado;02/2014;77000;140.0;11900.0
Kia;Ceed SW / cee'd SW;Diesel;Manual;Usado;05/2014;64000;128.0;10600.0
Renault;Clio;Gasolina;Manual;Usado;01/2019;10493;76.0;10691.0
Renault;Megane;Diesel;Manual;Usado;04/2017;79834;110.0;10691.0
Ford;Focus;Gasolina;Manual;Usado;10/2015;49990;101.0;10700.0
Kia;Ceed / cee'd;Gasolina;Manual;Usado;06/2015;67500;99.0;10780.0
Hyundai;i40;Gasolina;Manual;Usado;06/2012;88358;177.0;10790.0
Renault;Clio;Gasolina;Manual;Usado;01/2019;10109;76.0;10790.0
Kia;Ceed SW / cee'd SW;Gasolina;Manual;Usado;02/2015;53000;135.0;10790.0
Skoda;Octavia;Diesel;Automática;Usado;02/2012;50000;105.0;10799.0
Skoda;Octavia;Gasolina;Automática;Usado;04/2012;12749;105.0;10830.0
Ford;Focus;Gasolina;Manual;Usado;02/2017;38150;101.0;10850.0
Opel;Astra;Diesel;Manual;Usado;01/2018;79490;110.0;10880.0
Dacia;Lodgy;Gasolina;Manual;Usado;08/2017;59865;116.0;10880.0
SEAT;Leon;Diesel;Manual;Usado;09/2015;42275;110.0;10880.0
Skoda;;Diesel;Manual;Usado;02/2017;71607;90.0;10890.0
Skoda;Fabia;Gasolina;Manual;Usado;08/2017;79000;95.0;10900.0
SEAT;Leon;Gasolina;Manual;Usado;11/2016;37500;86.0;10900.0
Peugeot;308;Gasolina;Automática;Usado;03/2015;84900;131.0;10900.0
Opel;Astra;Gasolina;Manual;Usado;05/2015;41455;140.0;10950.0
BMW;320;Diesel;Manual;Usado;03/2012;73604;184.0;10980.0
Opel;Karl;Gasolina;Manual;Usado;08/2017;40401;75.0;7950.0
Dacia;Sandero;Gasolina;Manual;Nuevo;09/2020;10;73.0;7974.0
Kia;Ceed / cee'd;Gasolina;Manual;Usado;01/2014;97500;99.0;7980.0
Volkswagen;up!;Gasolina;Automática;Usado;02/2013;21000;75.0;7989.0
Dacia;Sandero;Gasolina;Manual;Usado;04/2013;55000;90.0;7990.0
SEAT;Ibiza;Gasolina;Manual;Usado;08/2016;43034;75.0;7990.0
Volkswagen;Polo;Gasolina;Manual;Usado;04/2016;74442;60.0;7990.0
Alfa;Romeo Giulietta;Gasolina;Manual;Usado;06/2011;72500;120.0;7990.0
Peugeot;208;Gasolina;Manual;Usado;05/2014;58000;68.0;7990.0
Ford;Mondeo;Gasolina;Manual;Usado;04/2010;91531;145.0;7990.0
Opel;Astra;Gasolina;Manual;Usado;06/2013;60700;101.0;7990.0
Ford;Fiesta;Gasolina;Manual;Usado;04/2016;44929;60.0;7990.0
Opel;Corsa;Gasolina;Manual;Usado;05/2018;40900;69.0;7990.0
Ford;Fiesta;Gasolina;Manual;Usado;05/2014;28181;82.0;7990.0
Skoda;Superb;Gasolina;Manual;Usado;08/2010;68335;160.0;7990.0
Toyota;Avensis;Gasolina;Manual;Usado;11/2011;80558;132.0;7999.0
Ford;Fiesta;Gasolina;Manual;Usado;04/2014;84348;80.0;8170.0
Skoda;Rapid/Spaceback;Gasolina;Manual;Usado;10/2014;95700;86.0;8250.0
Volkswagen;Golf Plus;Gasolina;Automática;Usado;07/2011;73900;105.0;8350.0
Opel;Astra;Gasolina;Manual;Usado;03/2012;73697;140.0;8365.0
Ford;Grand C-Max;Gasolina;Manual;Usado;06/2016;67420;101.0;12650.0
Opel;Zafira Tourer;Gasolina;Manual;Usado;05/2016;24762;120.0;12690.0
Volkswagen;Touran;Diesel;Manual;Usado;05/2012;99999;105.0;12739.0
Opel;Zafira Tourer;Diesel;Manual;Usado;09/2014;92250;136.0;12770.0
Volkswagen;Touran;Gasolina;Manual;Usado;06/2014;96250;140.0;12790.0
Opel;Zafira Tourer;Gasolina;Manual;Usado;10/2014;74002;170.0;12800.0
Mercedes-Benz;B 180;Diesel;Automática;Usado;09/2014;75000;109.0;12800.0
Volkswagen;Golf Sportsvan;Gasolina;Manual;Usado;10/2014;70600;150.0;12859.0
Mercedes-Benz;B 200;Diesel;Automática;Usado;04/2012;68700;136.0;12880.0
Opel;Meriva;Diesel;Manual;Usado;09/2016;43269;136.0;12880.0
Volkswagen;Golf Sportsvan;Gasolina;Manual;Usado;09/2015;72300;125.0;12888.0
Opel;Vivaro;Diesel;Manual;Usado;04/2016;72000;120.0;12890.0
Volkswagen;Golf Sportsvan;Gasolina;Manual;Usado;07/2017;18576;86.0;12960.0
Ford;C-Max;Gasolina;Manual;Usado;08/2015;28200;125.0;12960.0
Fiat;500L;Diesel;Manual;Usado;07/2016;40000;120.0;12980.0
Ford;B-Max;Gasolina;Manual;Usado;09/2017;15893;125.0;12990.0
Volkswagen;Golf Sportsvan;Gasolina;Automática;Usado;07/2014;41400;110.0;12990.0
Ford;B-Max;Gasolina;Manual;Usado;04/2016;45206;105.0;12990.0
Fiat;500L;Gasolina;Manual;Usado;03/2017;30993;95.0;12990.0
Volkswagen;Caddy;Gasolina;Manual;Usado;05/2015;68456;105.0;12990.0
Volkswagen;Polo;Gasolina;Manual;Usado;07/2015;94371;75.0;7880.0
Ford;Fiesta;Gasolina;Manual;Usado;07/2012;30650;82.0;7880.0
smart;forFour;Gasolina;Manual;Usado;03/2018;57604;71.0;7880.0
smart;forFour;Gasolina;Manual;Usado;03/2018;43138;71.0;7880.0
Fiat;Panda;Gasolina;Manual;Usado;04/2017;34750;69.0;7898.0
Renault;Twingo;Gasolina;Manual;Usado;08/2018;16850;71.0;7940.0
Dacia;Sandero;Diesel;Manual;Usado;03/2015;60500;90.0;7941.0
Opel;Corsa;Gasolina;Manual;Usado;05/2017;31683;90.0;7950.0
Opel;Corsa;Gasolina;Manual;Usado;05/2017;38656;90.0;7950.0
Opel;Corsa;Gasolina;Manual;Usado;06/2014;35518;86.0;7950.0
Toyota;Yaris;Gasolina;Manual;Usado;10/2014;45814;69.0;7950.0
Opel;Corsa;Gasolina;Manual;Usado;12/2015;57664;101.0;7980.0
Volkswagen;Polo;Gasolina;Automática;Usado;12/2010;92770;105.0;7980.0
Hyundai;i10;Gasolina;Manual;Usado;10/2017;16600;67.0;7980.0
Skoda;Citigo;Gasolina;Manual;Usado;12/2017;48450;75.0;7980.0
Renault;Twingo;Gasolina;Manual;Nuevo;09/2020;11;65.0;7985.0
Renault;Twingo;Gasolina;Manual;Nuevo;09/2020;11;65.0;7985.0
Citroen;C1;Gasolina;Manual;Nuevo;09/2020;100;72.0;7989.0
Volkswagen;up!;Gasolina;Manual;Usado;04/2017;14717;60.0;7989.0
Opel;Corsa;Gasolina;Manual;Usado;05/2017;20700;69.0;7989.0
Opel;Corsa;Gasolina;Manual;Usado;12/2014;63141;87.0;6770.0
Volkswagen;up!;Gasolina;Manual;Usado;02/2017;54161;60.0;6775.0
Skoda;Fabia;Gasolina;Manual;Usado;07/2012;92900;105.0;6790.0
Hyundai;i30;Gasolina;Manual;Usado;02/2012;84880;109.0;6790.0
Hyundai;i20;Gasolina;Manual;Usado;06/2014;26400;86.0;6795.0
Dacia;Sandero;Gasolina;Manual;Usado;12/2018;58000;73.0;6799.0
Volkswagen;up!;Gasolina;Manual;Usado;03/2016;50773;60.0;6810.0
Fiat;Punto;Gasolina;Manual;Usado;07/2016;72280;69.0;6850.0
Opel;Astra;Gasolina;Manual;Usado;09/2011;73005;101.0;6879.0
Volkswagen;up!;Gasolina;Manual;Usado;04/2016;34200;60.0;6880.0
Volkswagen;up!;Gasolina;Manual;Usado;08/2014;44100;75.0;6880.0
Volkswagen;Polo;Gasolina;Manual;Usado;08/2013;90500;86.0;6885.0
Opel;Corsa;Gasolina;Manual;Usado;11/2016;30130;69.0;6888.0
Renault;Kangoo;Diesel;Manual;Usado;01/2015;58000;90.0;6890.0
Fiat;500C;Gasolina;Manual;Usado;03/2012;77100;69.0;6890.0
Renault;Kangoo;Diesel;Manual;Usado;02/2015;94033;90.0;6890.0
Hyundai;i10;Gasolina;Manual;Usado;04/2016;39100;67.0;6891.0
Mazda;2;Gasolina;Manual;Usado;07/2012;58800;84.0;6898.0
Ford;Fiesta;Gasolina;Manual;Usado;09/2014;52900;101.0;6900.0
Nissan;Micra;Gasolina;Manual;Usado;03/2017;76100;80.0;6900.0
BMW;430;Gasolina;Manual;Usado;02/2017;49000;252.0;29320.0
Ford;Mustang;Gasolina;Automática;Usado;07/2018;2500;314.0;29399.0
Ford;Mustang;Gasolina;Automática;Usado;08/2016;49103;317.0;29470.0
Volkswagen;Arteon;Diesel;Manual;Usado;02/2019;19860;150.0;29480.0
Volkswagen;Arteon;Diesel;Automática;Usado;06/2019;23234;150.0;29490.0
Volkswagen;Arteon;Diesel;Automática;Usado;09/2017;65650;239.0;29495.0
BMW;235;Gasolina;Manual;Usado;03/2016;29000;326.0;29499.0
BMW;220;Gasolina;Automática;Usado;09/2017;20900;184.0;29500.0
Audi;RS5;Gasolina;Automática;Usado;06/2011;85500;450.0;29870.0
Volkswagen;Arteon;Diesel;Manual;Usado;02/2019;12740;150.0;29940.0
Audi;A5;Gasolina;Automática;Usado;05/2018;13290;190.0;29940.0
Audi;A5;Gasolina;Manual;Usado;05/2017;27015;190.0;29970.0
Volkswagen;Arteon;Gasolina;Automática;Usado;06/2019;6558;150.0;29989.0
BMW;420;Diesel;Automática;Usado;05/2018;10162;190.0;29990.0
Audi;A7;Gasolina;Automática;Usado;08/2015;81871;333.0;29990.0
Audi;A7;Diesel;Automática;Usado;11/2014;79350;272.0;29998.0
BMW;420;Diesel;Automática;Usado;06/2019;15489;190.0;30440.0
Kia;ProCeed / pro_cee'd;Gasolina;Automática;Usado;09/2020;3000;204.0;30460.0
Volkswagen;Arteon;Diesel;Automática;Usado;11/2018;66788;150.0;30485.0
Audi;A5;Diesel;Automática;Usado;08/2017;38050;190.0;30490.0
Hyundai;iX35;Gasolina;Manual;Usado;09/2014;20950;135.0;11900.0
Kia;Stonic;Gasolina;Manual;Usado;12/2017;45157;84.0;11900.0
